개방자치단체코드,관리번호,구분명,근거법령명,화장실명,소재지도로명주소,소재지지번주소,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,개방시간상세,설치연월,화장실소유구분명,오물처리방식,안전관리시설설치대상여부,비상벨설치여부,비상벨설치장소,화장실입구CCTV설치유무,기저귀교환대유무,기저귀교환대장소,리모델링연월,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3830000,202238300000101768,공중화장실,법제3조제16호-영제3조제1항제1호,인덕원동 복지회관,"경기도 안양시 동안구 인덕원로24번길 60 (관양동, 관양2동복지회관)",,6,6,0,0,0,0,6,0,0,인덕원동 행정복지센터,03180454105,정시,09:00~ 18:00,,공공기관-지방자치단체,수세식,Y,N,,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2023-12-28 16:01:13
3830000,202238300000101769,공중화장실,법제3조제16호-영제3조제1항제1호,인덕원동행정복지센터공중화장실,경기도 안양시 동안구 관양로 215,,4,4,1,0,0,0,2,1,0,인덕원동행정복지센터,03180454660,정시,09:00~18:00,,공공기관-지방자치단체,수세식,Y,N,,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2023-12-28 16:00:28
3830000,202238300000101770,공중화장실,,관양도서관 화장실,"경기도 안양시 동안구 동편로 124 (관양동, 관양도서관)",,8,9,4,0,1,2,16,4,2,안양시 동안구도서관,03180456331,,09:00~18:00,,공공기관-지방자치단체,수세식,,N,,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2023-10-05 17:24:55
3830000,202238300000101772,개방화장실,,관양시장문화센터 개방화장실,경기도 안양시 동안구 관평로336번길 31(관양동),,3,3,0,0,0,0,4,0,0,관양시장문화센터,0313865577,,07:00~20:00,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,,Y,Y,여자화장실,,2022-12-31,I,2026-05-15 18:43:46,2023-04-13 16:31:24
3830000,202238300000101774,공중화장실,,국립농산물품질관리원 경기지원,경기도 안양시 만안구 안양로 114,,6,7,1,1,0,0,11,0,0,국립농산물품질관리원 경기지원,0314495292,,09:00~18:00,,공공기관-국가,수세식,,N,,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:43
3830000,202238300000101776,공중화장실,법제3조제16호-영제3조제1항제1호,귀인동 문화복지센터 화장실,경기도 안양시 동안구 부림로 14,경기도 안양시 동안구 평촌동 933-5,3,5,1,1,0,0,10,1,0,귀인동 행정복지센터,03180454521,정시,09:00~18:00,199404,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,Y,Y,여자화장실+남자화장실,,2022-12-31,I,2026-05-15 18:43:46,2023-12-28 16:10:06
3830000,202238300000101777,공중화장실,법제3조제16호-영제3조제1항제1호,귀인동 행정복지센터 화장실,경기도 안양시 동안구 부림로 16,경기도 안양시 동안구 평촌동 933-4,3,3,1,1,0,0,3,1,0,귀인동 행정복지센터,03180454157,정시,09:00~18:00,201708,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,Y,여자화장실+남자화장실,,2022-12-31,I,2026-05-15 18:43:46,2023-12-28 16:09:31
3830000,202238300000101783,개방화장실,법제3조제17호-영제3조제2항제1호,김천빌딩 개방화장실,경기도 안양시 만안구 경수대로 1273(석수동),,2,2,0,0,0,0,0,0,0,김천빌딩,07089775959,정시,11:00~23:00,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,N,N,,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2023-12-19 14:55:42
3830000,202238300000101784,공중화장실,,꿈마을어린이공원 공중화장실,,경기도 안양시 동안구 평촌동 932-3,2,2,1,0,1,0,2,1,1,안양시 공원관리과,03180455021,,00:00~24:00,,공공기관-지방자치단체,수세식,,Y,여자화장실+남자화장실,Y,Y,여자화장실,,2022-12-31,I,2026-05-15 18:43:46,2023-09-15 16:42:09
3830000,202238300000101785,공중화장실,,꿈자람어린이공원 공중화장실,,경기도 안양시 동안구 호계동 1054-4,2,2,1,0,1,0,2,1,1,안양시 공원관리과,03180455021,,00:00~24:00,,공공기관-지방자치단체,수세식,,Y,여자화장실,Y,N,,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:43
3830000,202238300000101788,개방화장실,,남부시장 상인회관 개방화장실,경기도 안양시 만안구 장내로140번길 51,,3,3,1,0,0,0,5,0,0,남부시장 상인회,0314497400,,05:00~22:00,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,,Y,Y,여자화장실,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:43
3830000,202238300000101790,개방화장실,,내안애팰리스빌딩 개방화장실,경기도 안양시 동안구 흥안대로94번길 68(호계동),,2,3,1,1,0,0,4,1,0,내안애팰리스빌딩,0314550461,,08:00~22:00,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,,Y,Y,남자화장실+여자화장실,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:43
3830000,202238300000101791,공중화장실,,냉천어린이공원 공중화장실,경기도 안양시 만안구 안양로 263번길 31,경기도 안양시 만안구 안양동 627-311,3,2,3,0,0,2,3,3,0,안양시 공원관리과,03180455286,,00:00~24:00,,공공기관-지방자치단체,수세식,,Y,여자화장실+남자화장실,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2023-09-15 16:41:45
3830000,202238300000101792,공중화장실,,농수산물도매시장 관리사업소 화장실,경기도 안양시 동안구 흥안대로 313,경기도 안양시 동안구 평촌동 934-1 안양시 농수산물도매시장,58,84,2,0,0,0,63,2,0,안양시 농수산물도매시장관리사업소,03180452635,,00:00~24:00,,공공기관-지방자치단체,수세식,,N,,N,Y,여자화장실,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:43
3830000,202238300000101797,공중화장실,,늘푸른어린이공원 공중화장실,경기도 안양시 만안구 수리산로48번길 43(안양동),경기도 안양시 만안구 안양동 528,1,2,1,1,0,0,2,1,0,안양시 공원관리과,03180455286,,00:00~24:00,,공공기관-지방자치단체,수세식,,Y,남자화장실+여자화장실,N,Y,남자화장실+여자화장실,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:43
3830000,202238300000101798,개방화장실,,다운타운빌딩 개방화장실,경기도 안양시 동안구 시민대로 214(호계동),,2,3,1,0,0,0,2,0,0,다운타운빌딩,0314761336,,00:00~24:00,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,Y,장애인화장실,Y,N,,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:43
3830000,202238300000101799,공중화장실,,달안동 행정복지센터 공중화장실,경기도 안양시 동안구 달안로 65,경기도 안양시 동안구 비산동 1101-5,3,4,1,1,0,0,5,1,0,달안동 행정복지센터,03180454640,,09:00~18:00,,공공기관-지방자치단체,수세식,,N,,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:43
3830000,202238300000101800,공중화장실,,달안어린이공원 공중화장실,,경기도 안양시 동안구 비산동 1109-2,2,2,1,0,0,0,3,1,0,안양시 공원관리과,03180455021,,00:00~24:00,,공공기관-지방자치단체,수세식,,Y,여자화장실,Y,N,,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:43
3830000,202238300000101801,개방화장실,,대건빌딩 개방화장실,"경기도 안양시 동안구 평촌대로223번길 19, 대건상가 (호계동)",경기도 안양시 동안구 호계동 1047-4 대건상가,2,3,0,0,0,0,3,0,0,대건상가 관리단,,,24시간,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2023-07-04 12:59:21
3830000,202238300000101803,개방화장실,,대명빌딩 개방화장실,경기도 안양시 동안구 경수대로 711(호계동),,1,1,0,0,0,0,1,0,0,대명빌딩,,,00:00~24:00,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,,Y,N,,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:43
3830000,202238300000101805,공중화장실,,대원어린이공원 공중화장실,,경기도 안양시 동안구 평촌동 898-5,2,2,1,0,0,0,3,1,0,안양시 공원관리과,03180455021,,00:00~24:00,,공공기관-지방자치단체,수세식,,Y,여자화장실+남자화장실,Y,Y,여자화장실,,2022-12-31,I,2026-05-15 18:43:46,2023-09-15 16:44:36
3830000,202238300000101806,개방화장실,,대한신학대학원대학교 개방화장실,경기도 안양시 만안구 경수대로1406번길 30(석수동),,2,4,2,2,0,0,4,0,0,대한신학대학원대학교,0314703140,,06:00~22:00,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,,Y,Y,남자화장실,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:43
3830000,202238300000101810,개방화장실,,덕진빌딩 개방화장실,경기도 안양시 동안구 관악대로 486(관양동),,2,2,0,0,0,0,2,0,0,덕진빌딩,,,00:00~24:00,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,,Y,N,,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:44
3830000,202238300000101812,공중화장실,,동안구청 공중화장실(1~5층),경기도 안양시 동안구 동안로 158,경기도 안양시 비산동 1111,30,30,3,6,0,0,28,3,2,안양시 동안구 행정지원과,03180454277,,06:00~24:00,,공공기관-지방자치단체,수세식,,N,,N,Y,여자화장실,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:44
3830000,202238300000101813,공중화장실,,동안노인복지회관 화장실,경기도 안양시 동안구 동안로 151,,6,9,1,0,0,0,12,0,0,안양시 평생학습과,03180456044,,09:00~18:00,,공공기관-지방자치단체,수세식,,N,,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2023-09-15 16:57:06
3830000,202238300000101814,공중화장실,법제3조제16호-영제3조제1항제1호,동안보건소 화장실,경기도 안양시 동안구 평촌대로253번길 41,경기도 안양시 동안구 비산동 1111,8,8,3,3,0,0,12,3,0,안양시 동안보건소,03180454472,정시,09:00~18:00,200505,공공기관-지방자치단체,수세식,Y,Y,장애인화장실+남자화장실,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2023-12-28 15:38:34
3830000,202238300000101815,개방화장실,,동안빌딩 개방화장실,경기도 안양시 동안구 평촌대로223번길 31,,2,3,0,0,0,0,3,0,0,동안빌딩,0313878403,,00:00~24:00,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,,Y,N,,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:44
3830000,202238300000101816,공중화장실,,동안양세무서 공중화장실,"경기도 안양시 동안구 관평로202번길 27, 동안양세무서 (관양동)",경기도 안양시 동안구 관양동 1592-2 동안양세무서,10,15,1,0,0,0,30,1,0,동안양세무서 체납징세과,0313898245,,09:00~18:00,200901,공공기관-국가,수세식,,N,,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2023-06-19 17:47:26
3830000,202238300000101817,공중화장실,,동안청소년수련관,경기도 안양시 동안구 동안로 149,,7,16,8,2,0,0,26,2,0,안양시청소년재단,03180454900,,09:00~22:00,,공공기관-국가공공기관,수세식,,N,,Y,N,,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:44
3830000,202238300000101818,개방화장실,,동안타워 개방화장실,경기도 안양시 동안구 부림로 164(관양동),,1,1,0,0,0,0,2,0,0,동안타워,0314213321,,00:00~24:00,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,,Y,N,,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:44
3830000,202238300000101819,공중화장실,,동안평생교육센터 화장실,경기도 안양시 동안구 동안로 149,,8,10,0,0,0,0,18,0,0,안양시 평생학습과,03180456044,,09:00~18:00,,공공기관-지방자치단체,수세식,,N,,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2023-09-15 16:55:59
3830000,202238300000101821,개방화장실,,동영벤처스텔3차 개방화장실,경기도 안양시 만안구 덕천로 45(안양동),,2,3,0,0,0,0,3,0,0,동영벤처스텔3차,0314683171,,00:00~24:00,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,,Y,N,,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:44
3830000,202238300000101822,공중화장실,,동편공원 공중화장실,,경기도 안양시 동안구 관양동 1660,1,3,0,0,0,0,2,1,0,안양시 공원관리과,03180455015,,00:00~24:00,,공공기관-지방자치단체,수세식,,N,,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:44
3830000,202238300000101823,개방화장실,,두산벤처타임 개방화장실,경기도 안양시 동안구 흥안대로 415,,3,3,1,0,0,0,3,1,0,두산벤처다임,0314783114,,00:00~24:00,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,,Y,N,,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:44
3830000,202238300000101825,공중화장실,,럭키어린이공원 공중화장실,,경기도 안양시 동안구 평촌동 897-6,1,2,1,0,1,0,2,1,1,안양시 공원관리과,03180455021,,00:00~24:00,,공공기관-지방자치단체,수세식,,Y,여자화장실,Y,Y,남자화장실+여자화장실,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:44
3830000,202238300000101827,개방화장실,,마하주유소 개방화장실,경기도 안양시 만안구 엘에스로 237(안양동),,1,2,0,0,0,0,1,0,0,마하주유소,0314445175,,00:00~24:00,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,Y,여자화장실,N,N,,201911,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:44
3830000,202238300000101828,공중화장실,법제3조제16호-영제3조제1항제1호,만안구청 청사내 공중화장실,경기도 안양시 만안구 안양로 128,경기도 안양시 만안구 안양동 530,15,21,1,1,0,0,20,2,0,안양시 만안구 행정지원과,03180453178,정시,06:00~22:00,,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,Y,Y,여자화장실,202309,2022-12-31,I,2026-05-15 18:43:46,2023-12-28 16:14:50
3830000,202238300000101829,공중화장실,,만안노인복지회관 화장실,경기도 안양시 만안구 냉천로153번길 15,,8,8,0,0,0,0,10,0,0,안양시 평생학습과,03180456076,,09:00~18:00,,공공기관-지방자치단체,수세식,,N,,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2023-09-15 16:55:47
3830000,202238300000101830,공중화장실,,만안도서관 화장실,"경기도 안양시 만안구 냉천로 51 (안양동, 안양시립만안도서관)",,14,16,0,0,0,0,12,0,0,안양시 만안구도서관,03180456115,,09:00~18:00,,공공기관-지방자치단체,수세식,,N,,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2023-10-05 17:24:44
3830000,202238300000101831,공중화장실,법제3조제16호-영제3조제1항제1호,만안보건소 화장실,경기도 안양시 만안구 문예로 48,경기도 안양시 만안구 안양동 532-1,1,3,1,1,0,0,2,1,0,안양시 만안보건소,03180453404,정시,09:00~18:00,200004,공공기관-지방자치단체,수세식,Y,N,,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2023-12-28 15:33:32
3830000,202238300000101832,공중화장실,,만안평생교육센터 화장실,경기도 안양시 만안구 냉천로 39,,8,16,0,0,0,0,19,0,0,안양시 평생학습과,03180456063,,09:00~18:00,,공공기관-지방자치단체,수세식,,Y,장애인화장실,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2023-09-15 16:55:34
3830000,202238300000101833,공중화장실,,먹거리촌어린이공원 공중화장실,경기도 안양시 동안구 관평로69번길 29-13(평촌동),경기도 안양시 동안구 평촌동 927,1,2,1,1,0,0,3,1,0,안양시 공원관리과,03180455021,,00:00~24:00,,공공기관-지방자치단체,수세식,,Y,여자화장실+남자화장실,Y,Y,여자화장실,,2022-12-31,I,2026-05-15 18:43:46,2023-09-15 16:44:26
3830000,202238300000101836,공중화장실,,명학공원 공중화장실,,경기도 안양시 만안구 안양동 572,2,2,1,0,0,0,4,1,0,안양시 공원관리과,03180455285,,00:00~24:00,,공공기관-지방자치단체,수세식,,Y,여자화장실,N,Y,여자화장실,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:44
3830000,202238300000101838,개방화장실,,명학시장 상가건물,"경기도 안양시 만안구 수리산로47번길 38 (안양동, 명학시장 아파트)",경기도 안양시 만안구 안양동 434-3 명학시장 아파트,2,3,0,0,0,0,4,0,0,상가 번영회,,,08:00~21:00,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,Y,여자화장실,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2023-07-04 12:59:32
3830000,202238300000101839,공중화장실,,명학역(1호선) 공중화장실,경기도 안양시 만안구 만안로 20,경기도 안양시 만안구 안양동 1163-1,2,2,1,0,0,0,4,1,0,명학역,0314477788,,04:30~24:20,,공공기관-국가공공기관,수세식,,Y,여자화장실,Y,Y,남자화장실+여자화장실,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:44
3830000,202238300000101840,공중화장실,,목련어린이공원 공중화장실,,경기도 안양시 동안구 호계동 1052-2,2,2,1,0,1,0,2,1,1,안양시 공원관리과,03180455021,,00:00~24:00,,공공기관-지방자치단체,수세식,,Y,여자화장실,Y,Y,여자화장실,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:44
3830000,202238300000101843,공중화장실,,무궁화어린이공원 공중화장실,,경기도 안양시 동안구 호계동 1061,1,2,1,0,0,0,2,1,1,안양시 공원관리과,03180455021,,00:00~24:00,,공공기관-지방자치단체,수세식,,Y,여자화장실+남자화장실,Y,N,,,2022-12-31,I,2026-05-15 18:43:46,2023-09-15 16:43:10
3830000,202238300000101844,개방화장실,,문화빌딩 개방화장실,경기도 안양시 만안구 안양로 338(안양동),,2,1,0,0,0,0,2,0,0,문화빌딩,,,00:00~24:00,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,,N,N,,201912,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:44
3830000,202238300000101845,공중화장실,법제3조제5호,미륭아파트 앞 공중화장실,경기도 안양시 동안구 경수대로 868번길 16,경기도 안양시 동안구 비산동 1116,1,2,0,0,0,0,3,2,0,안양시 생태하천과,03180452187,상시,,201501,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,N,,,2022-12-31,I,2026-05-15 18:43:46,2023-12-28 11:22:22
3830000,202238300000101846,공중화장실,,민백어린이공원 공중화장실,,경기도 안양시 동안구 평촌동 933-2,2,2,1,0,0,0,3,1,0,안양시 공원관리과,03180455021,,00:00~24:00,,공공기관-지방자치단체,수세식,,Y,여자화장실,Y,Y,여자화장실,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:44
3830000,202238300000101847,공중화장실,,박달1동 행정복지센터 화장실,경기도 안양시 만안구 양화로127번길 9,경기도 안양시 만안구 박달동 50-2,5,7,1,1,0,0,6,1,0,박달1동 행정복지센터,03180453720,,09:00~18:00,,공공기관-지방자치단체,수세식,,N,,N,Y,남자화장실+여자화장실,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:44
3830000,202238300000101848,공중화장실,,박달2동 행정복지센터 화장실,경기도 안양시 만안구 박달로 470 (박달동),경기도 안양시 만안구 박달동 141-2,10,10,5,0,0,0,15,5,0,박달2동 행정복지센터,03180453730,,08:00~22:00,,공공기관-지방자치단체,수세식,,Y,장애인화장실+여자화장실,Y,Y,여자화장실,,2022-12-31,I,2026-05-15 18:43:46,2023-09-15 10:00:41
3830000,202238300000101849,공중화장실,,박달도서관 화장실,"경기도 안양시 만안구 박달로 459 (박달동, 안양시립박달도서관)",,8,8,0,0,0,0,15,0,0,안양시 만안구도서관,03180456175,,09:00~18:00,,공공기관-지방자치단체,수세식,,N,,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2023-10-05 17:24:22
3830000,202238300000101850,공중화장실,법제3조제5호,박달빗물펌프장공중화장실,경기도 안양시 만안구 양화로 135번길 88,경기도 안양시 만안구 박달동 838-7,1,1,0,0,0,0,2,0,0,안양시 생태하천과,03180452187,상시,,200501,공공기관-지방자치단체,수세식,Y,Y,여자화장실,Y,N,,,2022-12-31,I,2026-05-15 18:43:46,2023-12-28 11:21:55
3830000,202238300000101851,개방화장실,,박달시장 상인회관 개방화장실,경기도 안양시 만안구 양화로 132-3,경기도 안양시 만안구 박달동 21-8,3,4,1,0,0,0,7,0,0,박달시장 상인회관,0314692660,,07:00~23:00,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,Y,장애인화장실,Y,Y,여자화장실,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:44
3830000,202238300000101853,공중화장실,법제3조제5호,박석교 공중화장실,,경기도 안양시 박달동 10-1,2,3,1,0,0,0,4,1,0,안양시 생태하천과,03180452187,상시,,202009,공공기관-지방자치단체,수세식,Y,Y,남자화장실+여자화장실,Y,N,,,2022-12-31,I,2026-05-15 18:43:46,2023-12-28 11:21:15
3830000,202238300000101855,공중화장실,,벌말도서관 화장실,"경기도 안양시 동안구 흥안대로434번길 19-27 (평촌동, 벌말도서관)",,3,3,1,2,0,1,5,1,2,안양시 동안구도서관,03180456306,,09:00~18:00,,공공기관-지방자치단체,수세식,,N,,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2023-10-05 17:23:42
3830000,202238300000101857,공중화장실,법제3조제16호-영제3조제1항제1호,범계동 행정복지센터 화장실,경기도 안양시 동안구 평촌대로217번길 63,,1,1,1,1,0,0,2,0,0,범계동 행정복지센터,03180454740,정시,09:00~18:00,199207,공공기관-지방자치단체,수세식,Y,Y,여자화장실,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2023-12-28 16:09:02
3830000,202238300000101858,개방화장실,,범계빌딩 개방화장실,"경기도 안양시 동안구 평촌대로223번길 65, 범계빌딩 (호계동)",경기도 안양시 동안구 호계동 1046-1 범계빌딩,2,3,0,0,0,0,2,0,0,범계빌딩,,,24시간,245308,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:44
3830000,202238300000101860,공중화장실,,범계어린이공원 공중화장실,,경기도 안양시 동안구 호계동 1053-5,1,2,1,0,0,0,2,1,1,안양시 공원관리과,03180455021,,00:00~24:00,,공공기관-지방자치단체,수세식,,Y,여자화장실+남자화장실,Y,Y,여자화장실,,2022-12-31,I,2026-05-15 18:43:46,2023-09-15 16:44:45
3830000,202238300000101861,공중화장실,,범계역(4호선) 공중화장실,경기도 안양시 동안구 동안로 130 지하,,5,4,0,0,0,0,21,0,0,범계역,0313847788,,00:00~00:00,,공공기관-국가공공기관,수세식,,N,,N,N,,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:44
3830000,202238300000101862,개방화장실,,베스트상가 개방화장실,경기도 안양시 동안구 귀인로 198(평촌동),,2,2,0,0,0,0,3,0,0,베스트상가,,,00:00~24:00,,공공기관-지방공공기관(지방공기업/지방출자출연기관),수세식,,N,,Y,N,,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:44
3830000,202238300000101863,간이화장실,,병목안 담배촌휴게소 앞 공중화장실,경기도 안양시 만안구 병목안로 311,경기도 안양시 만안구 안양동 1219-201,1,1,1,0,0,0,2,1,0,안양시 자원순환과,03180452256,,00:00~24:00,,공공기관-지방자치단체,수세식,,Y,여자화장실,Y,N,,,2022-12-31,I,2026-05-15 18:43:46,2022-12-31 11:48:44
